gamehexid,season,season_type,game_date,game_matchup,home_team,home_team_id,away_team,away_team_id,game_line,over_under,actual_spread,spread_difference,spread_covered,home_ft_pct_L10,total_min,home_win,away_win,home_points,away_points,,3pfgPCT_x_WL,home_fg_made,home_fg_att,home_fg_pct,home_fg3_made,home_fg3_att,home_fg3_pct,home_ft_made,home_ft_att,home_ft_pct,home_off_reb,home_def_reb,home_rebounds,home_assists,home_steals,home_blocks,home_turnovers,home_personal_fouls,home_prev_3,home_prev_5_home,home_prev_10,away_fg_made,away_fg_att,away_fg_pct,away_fg3_made,away_fg3_att,away_fg3_pct,away_ft_made,away_ft_att,d,away_off_reb,away_def_reb,away_rebounds,away_assists,away_steals,away_blocks,away_turnovers,away_personal_fouls,over_under,home_wins,home_wins_at_home,home_last_ten_wins,home_last_five_wins,home_last_three_wins,home_points_per_game,home_points_allowed_per_game,home_ft_pct_on_season,home_fg_pct_on_season,home_rebounds_on_season,home_personal_fouls_on_season,home_h2h_wins,home_last_ten_ATS,home_last_five_ATS,home_last_three_ATS,away_wins,away_wins_at_away,away_last_ten_wins,away_last_five_wins,away_last_three_wins,away_points_per_game,away_points_allowed_per_game,away_ft_pct_on_season,away_fg_pct_on_season,away_rebounds_on_season,away_personal_fouls_on_season,away_h2h_wins,away_last_ten_ATS,away_last_five_ATS,away_last_three_ATS
41544c323031352d31302d3237,2015-16,1,10/27/15,DET @ ATL,ATL,1610612737,DET,1610612765,-7,197,12,19,0,0.8,240,0,1,94,106,,0,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,0,0,0,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434849323031352d31302d3237,2015-16,1,10/27/15,CLE @ CHI,CHI,1610612741,CLE,1610612739,-4,198.5,-2,2,0,0.695652174,240,1,0,97,95,,0.368,37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,0,0,0,38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4753323031352d31302d3237,2015-16,1,10/27/15,NOP @ GSW,GS,1610612744,NO,1610612740,-10,215,-16,6,1,0.909090909,240,1,0,111,95,,0.3,41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,0,0,0,35,83,0.422,6,18,0.333,19,27,0.704,8,25,33,21,9,3,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424b4e323031352d31302d3238,2015-16,1,10/28/15,CHI @ BKN,BKN,1610612751,CHI,1610612741,5.5,196,15,9.5,0,0.785714286,240,0,1,100,115,,0,39,93,0.419,0,9,0,22,28,0.786,16,29,45,19,11,5,13,18,0,0,0,42,78,0.538,14,28,0.5,17,20,0.85,5,34,39,20,9,3,19,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,97,95,0.695652174,0.425287356,47,22,0,0,0,0
424f53323031352d31302d3238,2015-16,1,10/28/15,PHI @ BOS,BOS,1610612738,PHI,1610612755,-11.5,198,-17,5.5,1,0.962962963,240,1,0,112,95,,0.333,39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,0,0,0,34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444554323031352d31302d3238,2015-16,1,10/28/15,UTA @ DET,DET,1610612765,UTAH,1610612762,1.5,191,-5,6.5,1,0.735294118,240,1,0,92,87,,0.229,30,87,0.345,8,35,0.229,17,26,0.654,15,29,44,17,13,8,16,19,0,0,0,40,79,0.506,13,27,0.481,12,18,0.667,9,40,49,26,9,10,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484f55323031352d31302d3238,2015-16,1,10/28/15,DEN @ HOU,HOU,1610612745,DEN,1610612743,-10.5,212,20,30.5,0,0.653846154,240,0,1,85,105,,0,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,0,0,0,38,83,0.458,5,20,0.25,31,37,0.838,6,33,39,24,3,4,8,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c414c323031352d31302d3238,2015-16,1,10/28/15,MIN @ LAL,LAL,1610612747,MIN,1610612750,-3,202,1,4,0,0.914285714,240,0,1,111,112,,0,29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,0,0,0,41,84,0.488,13,29,0.448,11,17,0.647,12,42,54,29,7,2,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,97,0.588235294,0.404255319,50,21,0,0,0,0
4d454d323031352d31302d3238,2015-16,1,10/28/15,CLE @ MEM,MEM,1610612763,CLE,1610612739,-5.5,188,30,35.5,0,0.727272727,240,0,1,76,106,,0,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,0,0,0,33,84,0.393,6,24,0.25,22,29,0.759,11,32,43,16,4,1,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d4941323031352d31302d3238,2015-16,1,10/28/15,CHA @ MIA,MIA,1610612748,CHA,1610612766,-6.5,193,-10,3.5,1,0.952380952,240,1,0,104,94,,0.5,30,86,0.349,9,18,0.5,28,31,0.903,18,29,47,17,7,4,18,27,0,0,0,42,93,0.452,9,23,0.391,29,35,0.829,19,30,49,24,11,7,11,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d494c323031352d31302d3238,2015-16,1,10/28/15,NYK @ MIL,MIL,1610612749,NY,1610612752,-5,194,25,30,0,0.903225806,240,0,1,97,122,,0,42,86,0.488,7,19,0.368,21,22,0.955,11,34,45,21,7,4,19,19,0,0,0,45,93,0.484,5,15,0.333,11,13,0.846,7,29,36,22,11,9,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f4b43323031352d31302d3238,2015-16,1,10/28/15,SAS @ OKC,OKC,1610612760,SA,1610612759,-4,207.5,-6,2,1,0.954545455,240,1,0,112,106,,0.192,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,0,0,0,33,84,0.393,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f524c323031352d31302d3238,2015-16,1,10/28/15,WAS @ ORL,ORL,1610612753,WSH,1610612764,4.5,203,1,3.5,1,0.666666667,240,0,1,87,88,,0,34,87,0.391,6,24,0.25,21,33,0.636,13,40,53,15,3,3,18,30,0,0,0,40,85,0.471,10,21,0.476,21,31,0.677,6,42,48,24,7,3,8,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504858323031352d31302d3238,2015-16,1,10/28/15,DAL @ PHX,PHX,1610612756,DAL,1610612742,-5,204.5,16,21,0,0.636363636,240,0,1,95,111,,0,44,88,0.5,12,32,0.375,12,14,0.857,6,45,51,22,7,4,12,21,0,0,0,36,91,0.396,11,33,0.333,11,18,0.611,5,34,39,19,7,2,11,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,111,0.703703704,0.421686747,33,26,0,1,1,1
